Rk,G,Playoffs,Series,Tm,Opp,G#,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-',Year
56,6,2001-05-11,WCS,LAL,SAC,3,1,38:54:00,10,22,0.455,0,1,0,16,19,0.842,0,7,7,4,2,0,5,4,36,23.7,28,2001
57,7,2001-05-13,WCS,LAL,SAC,4,1,48:00:00,15,29,0.517,1,1,1,17,19,0.895,9,7,16,3,2,1,2,2,48,43.3,6,2001
58,8,2001-05-19,WCF,LAL,SAS,1,1,46:53:00,19,35,0.543,1,2,0.5,6,8,0.75,1,9,10,3,1,1,4,4,45,28.9,17,2001
59,9,2001-05-21,WCF,LAL,SAS,2,1,47:20:00,11,24,0.458,1,4,0.25,5,6,0.833,1,6,7,6,2,1,2,4,28,21,5,2001
60,10,2001-05-25,WCF,LAL,SAS,3,1,39:36:00,14,27,0.519,2,4,0.5,6,9,0.667,5,4,9,8,1,0,3,1,36,29.4,28,2001
61,11,2001-05-27,WCF,LAL,SAS,4,1,33:50:00,10,19,0.526,1,4,0.25,3,3,1,0,2,2,11,2,1,2,4,24,22.1,23,2001
62,12,2001-06-06,FIN,LAL,PHI,1,1,52:05:00,7,22,0.318,0,0,,1,1,1,0,3,3,5,1,3,6,4,15,2.3,-6,2001
63,13,2001-06-08,FIN,LAL,PHI,2,1,47:27:00,11,23,0.478,1,2,0.5,8,8,1,1,7,8,6,2,2,2,4,31,26.1,11,2001
64,14,2001-06-10,FIN,LAL,PHI,3,1,48:00:00,13,30,0.433,0,2,0,6,6,1,0,6,6,3,2,0,3,2,32,18.3,5,2001
65,15,2001-06-13,FIN,LAL,PHI,4,1,42:41:00,6,13,0.462,0,2,0,7,12,0.583,2,8,10,9,1,1,4,2,19,17.3,7,2001
66,16,2001-06-15,FIN,LAL,PHI,5,1,43:56:00,7,18,0.389,2,3,0.667,10,11,0.909,2,10,12,6,1,1,3,3,26,21.9,14,2001
67,1,2002-04-21,WC1,LAL,POR,1,1,43:50:00,10,28,0.357,2,7,0.286,12,13,0.923,3,4,7,3,2,3,1,3,34,25.3,-4,2002
68,2,2002-04-25,WC1,LAL,POR,2,1,42:48:00,5,21,0.238,1,4,0.25,8,9,0.889,1,5,6,5,2,0,3,5,19,8.6,15,2002
69,3,2002-04-28,WC1,LAL,POR,3,1,44:42:00,9,19,0.474,3,4,0.75,4,7,0.571,0,4,4,7,2,2,4,5,25,17.6,-3,2002
70,4,2002-05-05,WCS,LAL,SAS,1,1,38:04:00,8,18,0.444,0,3,0,4,10,0.4,0,2,2,4,0,0,3,4,20,7,1,2002
71,5,2002-05-07,WCS,LAL,SAS,2,1,42:48:00,12,25,0.48,0,2,0,2,2,1,1,3,4,6,3,0,4,4,26,16.5,5,2002
72,6,2002-05-10,WCS,LAL,SAS,3,1,48:00:00,15,31,0.484,0,2,0,1,3,0.333,2,4,6,6,0,1,1,1,31,20.6,10,2002
73,7,2002-05-12,WCS,LAL,SAS,4,1,43:38:00,10,27,0.37,3,5,0.6,5,9,0.556,3,4,7,3,1,0,2,3,28,14.7,7,2002
74,8,2002-05-14,WCS,LAL,SAS,5,1,45:51:00,10,20,0.5,0,1,0,6,7,0.857,3,5,8,5,1,0,0,1,26,23.3,2,2002
75,9,2002-05-18,WCF,LAL,SAC,1,1,44:19:00,12,26,0.462,0,2,0,6,7,0.857,1,5,6,5,2,2,5,1,30,19.9,7,2002
76,10,2002-05-20,WCF,LAL,SAC,2,1,40:08:00,9,21,0.429,1,2,0.5,3,5,0.6,1,5,6,2,1,1,4,3,22,10.2,-3,2002
77,11,2002-05-24,WCF,LAL,SAC,3,1,39:41:00,8,24,0.333,4,9,0.444,2,2,1,1,1,2,3,2,2,2,6,22,10.5,-18,2002
78,12,2002-05-26,WCF,LAL,SAC,4,1,42:19:00,12,26,0.462,0,1,0,1,3,0.333,2,2,4,2,2,3,4,5,25,12.3,7,2002
79,13,2002-05-28,WCF,LAL,SAC,5,1,45:15:00,11,29,0.379,0,2,0,8,11,0.727,2,3,5,3,1,0,5,5,30,11.3,-5,2002
80,14,2002-05-31,WCF,LAL,SAC,6,1,44:00:00,10,20,0.5,0,0,,11,11,1,2,9,11,5,0,0,1,3,31,26.4,3,2002
81,15,2002-06-02,WCF,LAL,SAC,7,1,52:33:00,10,26,0.385,2,3,0.667,8,10,0.8,3,7,10,7,2,0,0,5,30,24.1,8,2002
